Episode_Number,person_scene,Line_Count,Total_Lines,Line_Percentage
11,Amy,0.0,0.0,0.0
11,Stuart,0.0,0.0,0.0
12,Leonard,54.0,178.0,30.337078651685395
12,Sheldon,59.0,178.0,33.146067415730336
12,Penny,6.0,178.0,3.3707865168539324
12,Raj,23.0,178.0,12.921348314606742
12,Howard,36.0,178.0,20.224719101123593
12,Bernadette,0.0,0.0,0.0
12,Amy,0.0,0.0,0.0
12,Stuart,0.0,0.0,0.0
13,Leonard,69.0,208.0,33.17307692307692
13,Sheldon,63.0,208.0,30.288461538461537
13,Penny,26.0,208.0,12.5
13,Raj,17.0,208.0,8.173076923076923
13,Howard,33.0,208.0,15.865384615384615
13,Bernadette,0.0,0.0,0.0
13,Amy,0.0,0.0,0.0
13,Stuart,0.0,0.0,0.0
14,Leonard,73.0,217.0,33.6405529953917
14,Sheldon,57.0,217.0,26.26728110599078
14,Penny,25.0,217.0,11.52073732718894
14,Raj,39.0,217.0,17.972350230414747
14,Howard,23.0,217.0,10.599078341013826
14,Bernadette,0.0,0.0,0.0
14,Amy,0.0,0.0,0.0
14,Stuart,0.0,0.0,0.0
15,Leonard,53.0,180.0,29.444444444444446
15,Sheldon,58.0,180.0,32.22222222222222
15,Penny,14.0,180.0,7.777777777777778
15,Raj,19.0,180.0,10.555555555555555
15,Howard,36.0,180.0,20.0
15,Bernadette,0.0,0.0,0.0
15,Amy,0.0,0.0,0.0
15,Stuart,0.0,0.0,0.0
16,Leonard,36.0,210.0,17.142857142857142
16,Sheldon,50.0,210.0,23.809523809523807
16,Penny,66.0,210.0,31.428571428571427
16,Raj,4.0,210.0,1.9047619047619049
16,Howard,54.0,210.0,25.71428571428571
16,Bernadette,0.0,0.0,0.0
16,Amy,0.0,0.0,0.0
16,Stuart,0.0,0.0,0.0
17,Leonard,65.0,199.0,32.663316582914575
17,Sheldon,52.0,199.0,26.13065326633166
